Fecha;Meta;CENTRO;NORTE
2/01/2026;27907.5;19820.41;8087.09
3/01/2026;27907.5;19820.41;8087.09
5/01/2026;27907.5;19820.41;8087.09
6/01/2026;27907.5;19820.41;8087.09
7/01/2026;27907.5;19820.41;8087.09
8/01/2026;27907.5;19820.41;8087.09
9/01/2026;27907.5;19820.41;8087.09
10/01/2026;27907.5;19820.41;8087.09
12/01/2026;27907.5;19820.41;8087.09
13/01/2026;27907.5;19820.41;8087.09
14/01/2026;27907.5;19820.41;8087.09
15/01/2026;27907.5;19820.41;8087.09
16/01/2026;27907.5;19820.41;8087.09
17/01/2026;27907.5;19820.41;8087.09
19/01/2026;27907.5;19820.41;8087.09
20/01/2026;27907.5;19820.41;8087.09
21/01/2026;27907.5;19820.41;8087.09
22/01/2026;27907.5;19820.41;8087.09
23/01/2026;27907.5;19820.41;8087.09
24/01/2026;27907.5;19820.41;8087.09
26/01/2026;27907.5;19820.41;8087.09
27/01/2026;27907.5;19820.41;8087.09
28/01/2026;27907.5;19820.41;8087.09
29/01/2026;27907.5;19820.41;8087.09
30/01/2026;27907.5;19820.41;8087.09
31/01/2026;27907.5;19820.41;8087.09
2/02/2026;31424.67;21888.59;9536.08
3/02/2026;31424.67;21888.59;9536.08
4/02/2026;31424.67;21888.59;9536.08
5/02/2026;31424.67;21888.59;9536.08
6/02/2026;31424.67;21888.59;9536.08
7/02/2026;31424.67;21888.59;9536.08
9/02/2026;31424.67;21888.59;9536.08
10/02/2026;31424.67;21888.59;9536.08
11/02/2026;31424.67;21888.59;9536.08
12/02/2026;31424.67;21888.59;9536.08
13/02/2026;31424.67;21888.59;9536.08
14/02/2026;31424.67;21888.59;9536.08
16/02/2026;31424.67;21888.59;9536.08
17/02/2026;31424.67;21888.59;9536.08
18/02/2026;31424.67;21888.59;9536.08
19/02/2026;31424.67;21888.59;9536.08
20/02/2026;31424.67;21888.59;9536.08
21/02/2026;31424.67;21888.59;9536.08
23/02/2026;31424.67;21888.59;9536.08
24/02/2026;31424.67;21888.59;9536.08
25/02/2026;31424.67;21888.59;9536.08
26/02/2026;31424.67;21888.59;9536.08
27/02/2026;31424.67;21888.59;9536.08
28/02/2026;31424.67;21888.59;9536.08
2/03/2026;23058.73;16074.5;6984.23
3/03/2026;44735.3;30574.5;14160.8
4/03/2026;23058.73;16074.5;6984.23
5/03/2026;35195.05;21034.25;14160.8
6/03/2026;28018.48;21034.25;6984.23
7/03/2026;26350.05;21034.25;5315.8
9/03/2026;27973.48;21034.25;6939.23
10/03/2026;35395.05;21034.25;14360.8
11/03/2026;27973.48;21034.25;6939.23
12/03/2026;35395.05;21034.25;14360.8
13/03/2026;27973.48;21034.25;6939.23
14/03/2026;26350.05;21034.25;5315.8
16/03/2026;27973.48;21034.25;6939.23
17/03/2026;35395.05;21034.25;14360.8
18/03/2026;27973.48;21034.25;6939.23
19/03/2026;35395.05;21034.25;14360.8
20/03/2026;27973.48;21034.25;6939.23
21/03/2026;26350.05;21034.25;5315.8
23/03/2026;27973.48;21034.25;6939.23
24/03/2026;35395.05;21034.25;14360.8
25/03/2026;27973.48;21034.25;6939.23
26/03/2026;35395.05;21034.25;14360.8
27/03/2026;27973.48;21034.25;6939.23
28/03/2026;27973.48;21034.25;6939.23
30/03/2026;27973.48;21034.25;6939.23
31/03/2026;36360.8;22000;14360.8
1/04/2026;26813.25069;20014.04161;6799.209082
4/04/2026;23113.25069;15914.04161;7199.209082
6/04/2026;26813.25069;20014.04161;6799.209082
7/04/2026;44863.25069;28314.04161;16549.20908
8/04/2026;27213.25069;20414.04161;6799.209082
9/04/2026;45013.25069;28514.04161;16499.20908
10/04/2026;32313.25069;25414.04161;6899.209082
11/04/2026;22463.25069;15414.04161;7049.209082
13/04/2026;27063.25069;20114.04161;6949.209082
14/04/2026;45113.25069;28514.04161;16599.20908
15/04/2026;27813.25069;20914.04161;6899.209082
16/04/2026;45113.25069;28514.04161;16599.20908
17/04/2026;32813.25069;25914.04161;6899.209082
18/04/2026;23463.25069;15914.04161;7549.209082
20/04/2026;27013.25069;20114.04161;6899.209082
21/04/2026;45113.25069;28514.04161;16599.20908
22/04/2026;27813.25069;20914.04161;6899.209082
23/04/2026;45113.25069;28514.04161;16599.20908
24/04/2026;32813.25069;25914.04161;6899.209082
25/04/2026;22963.25069;15414.04161;7549.209082
27/04/2026;26813.25069;19914.04161;6899.209082
28/04/2026;44263.25069;28214.04161;16049.20908
29/04/2026;27813.25069;20914.04161;6899.209082
30/04/2026;41213.25069;25214.04161;15999.20908
